resource_id,district_code,time,unmet_quantity
R15,102,1,20338.89
R25,102,1,36759.24
R30,102,1,72372.14
R31,102,1,1283.48
R32,102,1,676.54
R33,102,1,183.76
R40,102,1,89701873.0
R42,102,1,222811.91
R51,102,1,90571541.0
R54,102,1,5384850.0
R55,102,1,13791.84
R15,104,1,23155.8
R25,104,1,71031.16
R31,104,1,561.51
R32,104,1,1018.08
R36,104,1,191.98
R40,104,1,90367219.0
R42,104,1,13131296.0
R51,104,1,44583539.0
R55,104,1,8179.64
R56,104,1,91785.78
R32,109,1,2244.85
R33,109,1,53.7
R40,109,1,73063384.0
R44,109,1,1366.91
R45,109,1,22397.96
R54,109,1,2740795.1
R55,109,1,28242.06
R56,109,1,56779.14
R12,112,1,4942278.3
R25,112,1,85506.44
R30,112,1,29796.99
R31,112,1,1651.25
R42,112,1,10910460.0
R44,112,1,1394.97
R45,112,1,40723.01
R51,112,1,73800711.0
R54,112,1,2846878.2
R55,112,1,37904.09
R56,112,1,94906.41
R12,174,1,3163489.5
R25,174,1,47706.1
R30,174,1,8091.01
R31,174,1,827.92
R33,174,1,265.65
R40,174,1,36198112.0
R42,174,1,5420540.3
R51,174,1,44998975.0
R54,174,1,1716366.9
R55,174,1,19382.29
R15,183,1,1053.91
R25,183,1,111215.99
R30,183,1,72471.56
R40,183,1,100742330.0
R42,183,1,8868128.6
R44,183,1,137.1
R45,183,1,43617.76
R12,21,1,5920111.7
R15,21,1,3062.21
R25,21,1,65217.7
R30,21,1,27723.5
R32,21,1,953.99
R33,21,1,136.31
R36,21,1,267.28
R40,21,1,191441930.0
R42,21,1,11197560.0
R44,21,1,1472.96
R55,21,1,3830.67
R44,228,1,171.52
R12,25,1,7490628.7
R15,25,1,7890.69
R30,25,1,36943.57
R31,25,1,829.85
R32,25,1,666.0
R33,25,1,96.85
R40,25,1,189674640.0
R42,25,1,7196553.4
R44,25,1,902.82
R45,25,1,17100.71
R51,25,1,103372860.0
R55,25,1,12238.04
R12,278,1,2721501.8
R15,278,1,15170.43
R25,278,1,44056.56
R30,278,1,58566.24
R31,278,1,604.65
R32,278,1,685.85
R33,278,1,115.92
R40,278,1,201039950.0
R44,278,1,575.6
R45,278,1,24829.19
R51,278,1,33592624.0
R54,278,1,2937410.0
R55,278,1,15807.04
R56,278,1,55099.38
R12,283,1,2536573.8
R15,283,1,8794.84
R25,283,1,45062.56
R30,283,1,60231.9
R31,283,1,1521.16
R32,283,1,1163.82
R33,283,1,191.5
R36,283,1,986.09
R42,283,1,10509540.0
R44,283,1,1361.05
R45,283,1,10037.95
R54,283,1,1347473.5
R55,283,1,41209.13
R56,283,1,69880.12
R12,322,1,4248304.3
R15,322,1,8449.74
R25,322,1,89945.7
R33,322,1,149.7
R36,322,1,660.36
R44,322,1,167.96
R45,322,1,21381.95
R51,322,1,42790064.0
R54,322,1,2777293.8
R55,322,1,8593.06
R12,33,1,5841206.9
R15,33,1,10042.59
R25,33,1,82849.53
R30,33,1,61351.55
R31,33,1,834.89
R32,33,1,1826.39
R33,33,1,94.02
R36,33,1,172.08
R42,33,1,2434099.7
R44,33,1,324.67
R45,33,1,18309.47
R51,33,1,39997512.0
R54,33,1,4645276.1
R56,33,1,11953.71
R12,357,1,4484953.0
R15,357,1,15617.21
R25,357,1,211660.03
R30,357,1,34578.27
R31,357,1,793.06
R33,357,1,191.03
R36,357,1,997.77
R40,357,1,76351451.0
R44,357,1,1326.94
R54,357,1,5728006.7
R55,357,1,30792.71
R56,357,1,31241.11
R15,360,1,3361.64
R25,360,1,38724.4
R32,360,1,922.36
R33,360,1,97.38
R36,360,1,614.04
R40,360,1,74967043.0
R42,360,1,6014365.7
R44,360,1,654.27
R45,360,1,16006.93
R51,360,1,10521744.0
R54,360,1,2585316.0
R55,360,1,4075.13
R12,379,1,4754704.2
R15,379,1,4492.45
R31,379,1,449.37
R33,379,1,70.77
R36,379,1,293.75
R42,379,1,3646892.1
R44,379,1,1223.77
R45,379,1,28578.89
R51,379,1,85528608.0
R54,379,1,3543785.9
R55,379,1,1488.85
R56,379,1,101165.48
R30,383,1,35689.62
R32,383,1,431.49
R40,383,1,122411520.0
R42,383,1,270060.57
R45,383,1,18145.03
R54,383,1,877406.39
R56,383,1,38623.23
R12,40,1,2320426.6
R15,40,1,22454.41
R30,40,1,46467.0
R31,40,1,1029.71
R32,40,1,1168.69
R33,40,1,223.01
R36,40,1,289.26
R40,40,1,185728980.0
R42,40,1,8279471.5
R44,40,1,1006.26
R45,40,1,34221.24
R51,40,1,104027640.0
R54,40,1,1237460.2
R55,40,1,11770.67
R56,40,1,41822.8
R31,406,1,1053.43
R32,406,1,1390.49
R33,406,1,86.43
R42,406,1,5393998.5
R44,406,1,492.05
R45,406,1,12995.06
R51,406,1,49249002.0
R54,406,1,617182.23
R55,406,1,20359.39
R56,406,1,38315.42
R30,422,1,27563.08
R40,422,1,85628043.0
R45,422,1,14866.67
R56,422,1,15663.42
R12,430,1,6330819.3
R25,430,1,145507.07
R30,430,1,18471.15
R31,430,1,546.99
R32,430,1,976.04
R33,430,1,37.05
R36,430,1,407.41
R40,430,1,252028980.0
R42,430,1,13608532.0
R44,430,1,1665.77
R45,430,1,17574.32
R54,430,1,1726201.8
R55,430,1,6068.9
R15,432,1,29197.07
R25,432,1,160791.53
R30,432,1,30481.53
R31,432,1,698.16
R32,432,1,2009.69
R33,432,1,155.45
R40,432,1,123556040.0
R42,432,1,7748848.3
R45,432,1,22404.17
R51,432,1,29563443.0
R54,432,1,6062458.8
R56,432,1,78148.39
R12,436,1,4245728.4
R15,436,1,10408.35
R25,436,1,112467.96
R31,436,1,1553.64
R42,436,1,6544652.9
R51,436,1,78694070.0
R55,436,1,34262.17
R56,436,1,72244.22
R15,437,1,7195.94
R25,437,1,77423.49
R30,437,1,49019.64
R31,437,1,802.64
R32,437,1,1939.1
R33,437,1,296.4
R36,437,1,324.45
R40,437,1,235694600.0
R42,437,1,7974782.4
R44,437,1,737.67
R45,437,1,41103.0
R54,437,1,5147677.4
R56,437,1,94628.34
R25,492,1,52127.37
R30,492,1,17764.86
R32,492,1,102.2
R36,492,1,278.72
R40,492,1,66511406.0
R42,492,1,2082998.6
R44,492,1,169.95
R51,492,1,53688040.0
R12,5,1,2593288.4
R15,5,1,13449.72
R25,5,1,201036.42
R30,5,1,56152.92
R31,5,1,1434.38
R32,5,1,1691.15
R36,5,1,1040.75
R40,5,1,142178920.0
R42,5,1,11621137.0
R44,5,1,447.24
R55,5,1,34577.6
R56,5,1,85963.73
R12,50,1,6488924.8
R15,50,1,6051.56
R25,50,1,45848.23
R32,50,1,797.87
R36,50,1,548.71
R42,50,1,430888.95
R44,50,1,292.07
R54,50,1,3313061.8
R55,50,1,34962.67
R12,500,1,4919419.0
R15,500,1,15250.09
R30,500,1,55596.32
R31,500,1,1200.43
R32,500,1,5.56
R33,500,1,214.12
R42,500,1,11923997.0
R44,500,1,869.56
R45,500,1,23252.16
R51,500,1,40930535.0
R54,500,1,4699242.7
R55,500,1,58119.64
R15,530,1,3728.36
R30,530,1,80810.44
R32,530,1,925.62
R33,530,1,309.43
R36,530,1,864.56
R40,530,1,99083009.0
R42,530,1,7121751.2
R45,530,1,53044.16
R51,530,1,149555590.0
R54,530,1,4507043.8
R55,530,1,5530.64
R56,530,1,107104.45
R12,531,1,7607333.2
R25,531,1,113455.65
R31,531,1,2070.81
R32,531,1,2517.39
R33,531,1,130.59
R40,531,1,99816218.0
R42,531,1,3056275.5
R44,531,1,1031.03
R45,531,1,19365.43
R51,531,1,65818380.0
R54,531,1,416405.38
R55,531,1,13700.94
R56,531,1,29041.66
R12,533,1,599058.61
R15,533,1,14777.39
R32,533,1,745.37
R33,533,1,295.46
R36,533,1,87.09
R40,533,1,31511316.0
R42,533,1,1498230.4
R44,533,1,1475.99
R51,533,1,14113361.0
R54,533,1,863600.9
R55,533,1,2016.43
R56,533,1,69542.58
R15,538,1,787.36
R33,538,1,12.71
R44,538,1,260.15
R12,564,1,1792582.5
R15,564,1,21312.07
R25,564,1,150460.88
R30,564,1,56057.82
R31,564,1,363.11
R32,564,1,1016.42
R33,564,1,253.74
R36,564,1,862.53
R40,564,1,77498825.0
R42,564,1,13144486.0
R45,564,1,4778.37
R51,564,1,32163748.0
R56,564,1,60653.26
R36,578,1,23.36
R42,578,1,4113250.9
R51,578,1,51442422.0
R55,578,1,16121.69
R12,587,1,3376711.6
R25,587,1,96438.28
R30,587,1,21027.67
R31,587,1,1784.59
R32,587,1,1616.35
R33,587,1,133.14
R36,587,1,750.0
R40,587,1,229757880.0
R42,587,1,12342577.0
R44,587,1,1382.44
R51,587,1,58776592.0
R55,587,1,34711.49
R56,587,1,24177.23
R25,596,1,19794.14
R30,596,1,16037.75
R31,596,1,800.14
R40,596,1,117796740.0
R42,596,1,7133102.1
R44,596,1,303.3
R45,596,1,26673.78
R51,596,1,59416873.0
R54,596,1,1389845.3
R55,596,1,7740.92
R56,596,1,44060.46
R12,605,1,2498996.1
R15,605,1,23153.85
R25,605,1,217291.27
R30,605,1,36310.15
R31,605,1,1830.54
R33,605,1,50.34
R36,605,1,49.24
R40,605,1,179781980.0
R44,605,1,666.69
R45,605,1,16365.62
R51,605,1,96039380.0
R54,605,1,4153722.2
R31,622,1,56.96
R51,622,1,1816625.4
R12,63,1,2828025.0
R15,63,1,5340.96
R25,63,1,168571.28
R30,63,1,45049.27
R31,63,1,458.91
R32,63,1,1710.51
R36,63,1,140.17
R40,63,1,98217193.0
R42,63,1,1865851.0
R45,63,1,36546.66
R51,63,1,16122573.0
R54,63,1,1084430.4
R56,63,1,75701.07
R25,69,1,78192.56
R30,69,1,19889.53
R31,69,1,994.31
R32,69,1,1336.54
R33,69,1,88.9
R40,69,1,194755450.0
R42,69,1,6594754.6
R44,69,1,859.12
R45,69,1,4504.7
R51,69,1,28945058.0
R54,69,1,3534822.7
R55,69,1,30209.99
R56,69,1,46763.83
R12,73,1,4715306.0
R25,73,1,51664.18
R30,73,1,36909.89
R31,73,1,1364.79
R32,73,1,2252.8
R33,73,1,268.84
R36,73,1,86.66
R40,73,1,230455850.0
R42,73,1,4764268.2
R44,73,1,1364.32
R45,73,1,29788.52
R51,73,1,63772335.0
R54,73,1,3684441.1
R55,73,1,27620.46
R56,73,1,51809.19
R12,8,1,7491957.1
R15,8,1,13557.68
R25,8,1,199506.14
R30,8,1,57224.75
R36,8,1,640.67
R40,8,1,74259414.0
R42,8,1,8658273.6
R44,8,1,739.99
R45,8,1,34098.45
R51,8,1,61639657.0
R54,8,1,1756083.5
R56,8,1,60127.87
R12,83,1,3781004.6
R15,83,1,26611.42
R30,83,1,18377.9
R31,83,1,1195.19
R32,83,1,2000.46
R33,83,1,83.48
R36,83,1,864.31
R40,83,1,272326260.0
R42,83,1,6375033.2
R45,83,1,24185.07
R54,83,1,1345520.3
R56,83,1,57891.98
R12,84,1,5241390.1
R15,84,1,7087.69
R25,84,1,162202.23
R30,84,1,64651.8
R32,84,1,2133.19
R33,84,1,74.82
R36,84,1,862.38
R40,84,1,194962620.0
R42,84,1,10962141.0
R44,84,1,1331.36
R51,84,1,104170380.0
R54,84,1,1374051.2
R55,84,1,35931.56
